1.0, 1.2, 1.5, 5.6
2.0, 2.3, 3.0, 7.8
3.0, 3.1, 4.3, 9.7
4.0, 4.2, 5.0, 11.9
5.0, 5.3, 6.2, 14.1
6.0, 6.0, 7.4, 16.0
7.0, 7.1, 8.5, 18.3
8.0, 8.3, 9.2, 20.5
9.0, 9.2, 10.6, 22.7
10.0, 10.3, 11.9, 24.9
11.0, 11.5, 13.0, 27.1
12.0, 12.0, 14.3, 29.2
13.0, 13.3, 15.4, 31.4
14.0, 14.2, 16.6, 33.6
15.0, 15.1, 17.9, 35.8
16.0, 16.3, 19.2, 37.9
17.0, 17.2, 20.4, 40.2
18.0, 18.3, 21.5, 42.4
19.0, 19.1, 22.7, 44.5
20.0, 20.2, 23.8, 46.7
21.0, 21.3, 25.1, 48.9
22.0, 22.4, 26.2, 51.1
23.0, 23.2, 27.4, 53.3
24.0, 24.3, 28.5, 55.5
25.0, 25.1, 29.8, 57.7
26.0, 26.2, 30.9, 59.9
27.0, 27.3, 32.0, 62.1
28.0, 28.4, 33.1, 64.2
29.0, 29.5, 34.2, 66.4
30.0, 30.6, 35.3, 68.6
31.0, 31.7, 36.4, 70.8
32.0, 32.8, 37.6, 73.0
33.0, 33.9, 38.7, 75.2
34.0, 35.0, 39.8, 77.4
35.0, 36.1, 41.0, 79.5
36.0, 37.2, 42.1, 81.7
37.0, 38.3, 43.3, 83.9
38.0, 39.4, 44.4, 86.1
39.0, 40.5, 45.5, 88.2
40.0, 41.6, 46.7, 90.4
41.0, 42.7, 47.8, 92.6
42.0, 43.8, 48.9, 94.8
43.0, 44.9, 50.0, 97.0
44.0, 46.0, 51.1, 99.2
45.0, 47.1, 52.3, 101.4
46.0, 48.2, 53.4, 103.6
47.0, 49.3, 54.5, 105.8
48.0, 50.4, 55.6, 108.0
49.0, 51.5, 56.8, 110.2
50.0, 52.6, 57.9, 112.4
51.0, 53.7, 59.0, 114.6
52.0, 54.8, 60.1, 116.8
53.0, 55.9, 61.2, 119.0
54.0, 57.0, 62.3, 121.2
55.0, 58.1, 63.4, 123.4
56.0, 59.2, 64.6, 125.6
57.0, 60.3, 65.7, 127.8
58.0, 61.4, 66.8, 130.0
59.0, 62.5, 67.9, 132.2
60.0, 63.6, 69.0, 134.4
61.0, 64.7, 70.1, 136.6
62.0, 65.8, 71.2, 138.8
63.0, 66.9, 72.3, 141.0
64.0, 68.0, 73.4, 143.2
65.0, 69.1, 74.5, 145.4
66.0, 70.2, 75.6, 147.6
67.0, 71.3, 76.7, 149.8
68.0, 72.4, 77.8, 152.0
69.0, 73.5, 78.9, 154.2
70.0, 74.6, 80.0, 156.4
71.0, 75.7, 81.1, 158.6
72.0, 76.8, 82.2, 160.8
73.0, 77.9, 83.3, 163.0
74.0, 79.0, 84.4, 165.2
75.0, 80.1, 85.5, 167.4
76.0, 81.2, 86.6, 169.6
77.0, 82.3, 87.7, 171.8
78.0, 83.4, 88.8, 174.0
79.0, 84.5, 89.9, 176.2
80.0, 85.6, 91.0, 178.4
81.0, 86.7, 92.1, 180.6
82.0, 87.8, 93.2, 182.8
83.0, 88.9, 94.3, 185.0
84.0, 90.0, 95.4, 187.2
85.0, 91.1, 96.5, 189.4
86.0, 92.2, 97.6, 191.6
87.0, 93.3, 98.7, 193.8
88.0, 94.4, 99.8, 196.0
89.0, 95.5, 100.9, 198.2
90.0, 96.6, 102.0, 200.4
91.0, 97.7, 103.1, 202.6
92.0, 98.8, 104.2, 204.8
93.0, 99.9, 105.3, 207.0
94.0, 101.0, 106.4, 209.2
95.0, 102.1, 107.5, 211.4
96.0, 103.2, 108.6, 213.6
97.0, 104.3, 109.7, 215.8
98.0, 105.4, 110.8, 218.0
99.0, 106.5, 111.9, 220.2
100.0, 107.6, 113.0, 222.4
